VendorID,lpep_pickup_datetime,lpep_dropoff_datetime,store_and_fwd_flag,RatecodeID,PULocationID,DOLocationID,passenger_count,trip_distance,fare_amount,extra,mta_tax,tip_amount,tolls_amount,ehail_fee,improvement_surcharge,total_amount,payment_type,trip_type,congestion_surcharge,trip_duration,trip_duration_minutes,time_category,Shape_Leng,Shape_Area,zone,LocationID,borough,lat,lng
2,2022-02-02 16:57:26,2022-02-02 17:11:50,N,1.0,166,239,1.0,2.79,12.0,1.0,0.5,3.31,0.0,,0.3,19.86,1.0,1.0,2.75,0 days 00:14:24,14.4,afternoon,0.0688237542871,0.000255276270405,Morningside Heights,166,Manhattan,40.80957022827245,-73.96181526438258
1,2022-02-25 19:23:36,2022-02-25 19:47:13,N,1.0,75,107,1.0,5.1,20.0,3.75,0.5,6.1,0.0,,0.3,30.65,1.0,1.0,2.75,0 days 00:23:37,23.616666666666667,evening,0.0876638997685,0.00024056392715,East Harlem South,75,Manhattan,40.790650159764766,-73.94495666768462
2,2022-02-28 06:39:26,2022-02-28 06:52:27,N,1.0,42,141,1.0,4.35,14.0,0.0,0.5,3.51,0.0,,0.3,21.06,1.0,1.0,2.75,0 days 00:13:01,13.016666666666667,morning,0.0927092274616,0.000263896952605,Central Harlem North,42,Manhattan,40.82104621409778,-73.93951646931666
2,2022-02-08 13:11:35,2022-02-08 13:54:58,N,5.0,260,130,1.0,10.36,30.0,0.0,0.0,0.0,0.0,,0.3,30.3,2.0,2.0,0.0,0 days 00:43:23,43.38333333333333,afternoon,0.133514154636,0.000422345326907,Woodside,260,Queens,40.74679779446937,-73.90371327894323
2,2022-02-20 13:40:34,2022-02-20 13:45:06,N,1.0,75,75,1.0,0.71,5.0,0.0,0.5,1.16,0.0,,0.3,6.96,1.0,1.0,0.0,0 days 00:04:32,4.533333333333333,afternoon,0.0876638997685,0.00024056392715,East Harlem South,75,Manhattan,40.790650159764766,-73.94495666768462
2,2022-02-17 20:51:19,2022-02-17 20:57:41,N,1.0,75,262,1.0,1.32,6.5,0.5,0.5,2.11,0.0,,0.3,12.66,1.0,1.0,2.75,0 days 00:06:22,6.366666666666666,evening,0.0876638997685,0.00024056392715,East Harlem South,75,Manhattan,40.790650159764766,-73.94495666768462
2,2022-02-01 19:05:04,2022-02-01 19:20:00,N,1.0,129,70,1.0,3.66,14.5,1.0,0.5,3.26,0.0,,0.3,19.56,1.0,1.0,0.0,0 days 00:14:56,14.933333333333334,evening,0.0932727273403,0.00047398833179,Jackson Heights,129,Queens,40.75905747396381,-73.8874063794919
2,2022-02-07 19:06:17,2022-02-07 19:12:56,N,1.0,41,151,1.0,1.13,6.5,1.0,0.5,0.0,0.0,,0.3,8.3,2.0,1.0,0.0,0 days 00:06:39,6.65,evening,0.052793109453,0.000143093037737,Central Harlem,41,Manhattan,40.80420482862898,-73.95206533089232
2,2022-02-03 18:17:17,2022-02-03 18:17:26,N,2.0,166,166,1.0,0.0,52.0,4.5,0.5,0.0,0.0,,0.3,57.3,2.0,1.0,0.0,0 days 00:00:09,0.15,evening,0.0688237542871,0.000255276270405,Morningside Heights,166,Manhattan,40.80957022827245,-73.96181526438258
1,2022-02-17 13:53:23,2022-02-17 14:11:55,N,1.0,74,213,1.0,5.6,18.5,0.0,0.5,0.0,0.0,,0.3,19.3,2.0,1.0,0.0,0 days 00:18:32,18.533333333333335,afternoon,0.11029093625,0.000295038418204,East Harlem North,74,Manhattan,40.80556556547766,-73.9383104968462
